Movie,Release Date,Theatrical Distributor,MPAA(Motion Picure)Rating,Total Gross,Inflation-Adjusted Gross,Genre
Star Wars Ep. VII: The Force Awa…,18-Dec-15,Walt Disney,PG-13,"$936,662,225.00","$1,013,504,282 ",Adventure
Star Wars Ep. I: The Phantom Menace,19-May-99,20th Century Fox,PG,"$474,544,677.00","$828,160,499 ",Adventure
Shrek 2,19-May-04,Dreamworks SKG,PG,"$441,226,247.00","$651,536,982 ",Adventure
Spider-Man,3-May-02,Sony Pictures,PG-13,"$403,706,375.00","$637,175,121 ",Adventure
Independence Day,2-Jul-96,20th Century Fox,PG-13,"$306,169,255.00","$635,197,299 ",Adventure
Star Wars Ep. VIII: The Last Jedi,15-Dec-17,Walt Disney,PG-13,"$620,181,382.00","$632,391,682 ",Adventure
Incredibles 2,15-Jun-18,Walt Disney,PG,"$608,581,744.00","$612,589,966 ",Adventure
Pirates of the Caribbean: Dead M…,7-Jul-06,Walt Disney,PG-13,"$423,315,812.00","$592,642,135 ",Adventure
The Lord of the Rings: The Retur…,17-Dec-03,New Line,PG-13,"$377,845,905.00","$570,485,874 ",Adventure
Finding Nemo,30-May-03,Walt Disney,G,"$380,529,370.00","$563,632,537 ",Adventure
Rogue One: A Star Wars Story,16-Dec-16,Walt Disney,PG-13,"$532,177,324.00","$560,115,668 ",Adventure
Spider-Man 2,30-Jun-04,Sony Pictures,PG-13,"$373,524,485.00","$551,565,138 ",Adventure
The Lion King,19-Jul-19,Walt Disney,PG,"$543,638,043.00","$544,231,531 ",Adventure
Star Wars Ep. III: Revenge of th…,19-May-05,20th Century Fox,PG-13,"$380,270,577.00","$544,006,417 ",Adventure
The Lord of the Rings: The Two T…,18-Dec-02,New Line,PG-13,"$342,548,984.00","$535,750,024 ",Adventure
Star Wars: The Rise of Skywalker,20-Dec-19,Walt Disney,PG-13,"$515,202,542.00","$515,629,072 ",Adventure
Finding Dory,17-Jun-16,Walt Disney,PG,"$486,295,561.00","$515,529,514 ",Adventure
Harry Potter and the Sorcererâs …,16-Nov-01,Warner Bros.,PG,"$317,871,467.00","$513,799,034 ",Adventure
The Lord of the Rings: The Fello…,19-Dec-01,New Line,PG-13,"$315,544,750.00","$506,312,233 ",Adventure
Men in Black,1-Jul-97,Sony Pictures,PG-13,"$250,690,539.00","$500,833,177 ",Adventure
Star Wars Ep. II: Attack of the …,16-May-02,20th Century Fox,PG,"$310,676,740.00","$490,345,209 ",Adventure
Toy Story 3,18-Jun-10,Walt Disney,G,"$415,004,880.00","$482,331,399 ",Adventure
The Hunger Games: Catching Fire,22-Nov-13,Lionsgate,PG-13,"$424,668,047.00","$478,895,318 ",Adventure
Frozen II,22-Nov-19,Walt Disney,PG,"$477,373,578.00","$477,865,316 ",Adventure
Pirates of the Caribbean: The Cu…,9-Jul-03,Walt Disney,PG-13,"$305,410,819.00","$464,447,295 ",Adventure
Avatar,18-Dec-09,20th Century Fox,PG-13,"$760,507,625.00","$905,165,702 ",Action
Avengers: Endgame,26-Apr-19,Walt Disney,PG-13,"$858,373,000.00","$859,310,090 ",Action
Spider-Man: No Way Home,17-Dec-21,Sony Pictures,PG-13,"$804,405,733.00","$804,405,733 ",Action
The Avengers,4-May-12,Walt Disney,PG-13,"$623,357,910.00","$718,114,575 ",Action
Jurassic World,12-Jun-15,Universal,PG-13,"$652,306,625.00","$709,564,064 ",Action
Black Panther,16-Feb-18,Walt Disney,PG-13,"$700,059,566.00","$704,670,273 ",Action
Avengers: Infinity War,27-Apr-18,Walt Disney,PG-13,"$678,815,482.00","$683,286,273 ",Action
The Dark Knight,18-Jul-08,Warner Bros.,PG-13,"$533,720,947.00","$681,038,991 ",Action
The Dark Knight Rises,20-Jul-12,Warner Bros.,PG-13,"$448,139,099.00","$516,260,739 ",Action
Twister,10-May-96,Warner Bros.,PG-13,"$241,688,385.00","$501,421,377 ",Action
Avengers: Age of Ultron,1-May-15,Walt Disney,PG-13,"$459,005,868.00","$499,298,192 ",Action
Transformers: Revenge of the Fallen,24-Jun-09,Paramount Pictures,PG-13,"$402,111,870.00","$491,648,780 ",Action
Iron Man 3,3-May-13,Walt Disney,PG-13,"$408,992,272.00","$461,311,082 ",Action
The Lost World: Jurassic Park,22-May-97,Universal,PG-13,"$229,086,679.00","$457,674,251 ",Action
Captain America: Civil War,6-May-16,Walt Disney,PG-13,"$408,084,349.00","$432,616,584 ",Action
The Matrix Reloaded,15-May-03,Warner Bros.,R,"$281,553,689.00","$428,167,052 ",Action
Captain Marvel,8-Mar-19,Walt Disney,PG-13,"$426,829,839.00","$427,295,810 ",Action
Transformers,2-Jul-07,Paramount Pictures,PG-13,"$319,246,193.00","$425,506,909 ",Action
Wonder Woman,2-Jun-17,Warner Bros.,PG-13,"$412,563,408.00","$421,762,146 ",Action
Jurassic World: Fallen Kingdom,22-Jun-18,Universal,PG-13,"$417,719,760.00","$420,470,937 ",Action
Transformers: Dark of the Moon,29-Jun-11,Paramount Pictures,PG-13,"$352,390,543.00","$407,493,223 ",Action
Guardians of the Galaxy Vol 2,5-May-17,Walt Disney,PG-13,"$389,813,101.00","$398,504,578 ",Action
Spider-Man: Far From Home,2-Jul-19,Sony Pictures,PG-13,"$390,532,085.00","$390,958,429 ",Action
Batman Forever,16-Jun-95,Warner Bros.,PG-13,"$184,031,112.00","$387,946,038 ",Action
Deadpool,12-Feb-16,20th Century Fox,R,"$363,070,709.00","$384,896,922 ",Action
Titanic,19-Dec-97,Paramount Pictures,PG-13,"$659,363,944.00","$1,248,772,370 ",Drama
The Passion of the Christ,25-Feb-04,Newmarket Films,R,"$370,782,930.00","$547,493,401 ",Drama
Saving Private Ryan,24-Jul-98,Dreamworks SKG,R,"$216,335,085.00","$419,118,848 ",Drama
